ability_Electric Overload	Overload{desc}Sets a random enemy's card to Exhaust.		Surcharge{desc}Ajoute le statut Élimination à une carte ennemie aléatoire.	Überladung{desc}Fügt einer zufälligen gegnerischen Karte Erschöpfen hinzu.	Saturación{desc}Provoca Consumir a una carta enemiga al azar.	Sobrecarga{desc}Coloca uma carta de um inimigo aleatório em Exaustão.	过载{desc}将任意敌人的卡牌设为耗尽。	オーバーロード{desc}ランダムな敵1体のカードを消耗状態にする。	Перегрузка{desc}Устанавливает статус 'Сгорание' случайной вражеской карте.
ability_Artificial Armor	Artificial Armor{desc}Each round the Guardian’s Armor increases by 1 until it reaches a maximum of 1.5 times its initial armor stat		Armure artificielle{desc}À chaque round, le gardien augmente son armure de 1 jusqu'à ce qu'elle atteigne 150 % de sa valeur initiale.	Künstliche Rüstung{desc}Jede Runde erhöht sich die Wächterrüstung um 1, bis ein Maximum in Höhe des 1,5-Fachen des ursprünglichen Rüstungswerts erreicht ist.	Armadura Artificial{desc}Cada ronda, la Armadura de Guardian aumenta 1 punto hasta un máximo del 150 % de su valor inicial.	Armadura Artificial{desc}A cada rodada, a Armadura de Guardian aumenta em 1 até atingir um máximo de 1,5 vezes seu atributo de Armadura inicial.	人工防御{desc}每一回合，守护者的防御提升 1 点，上限为其初始防御属性的 1.5 倍。	人工よろい{desc}毎ラウンド、ガーディアンのアーマーが1増える（最大値：ガーディアンの初期アーマーの1.5倍）。	Искусственная броня{desc}Каждый раунд броня Стража увеличивается на 1, пока не достигнет 150% от начального значения.
ability_Potent Poison	Potent Poison{desc}Apply 1 Poison to a random enemy Spirit when at full health.		Toxine{desc}Applique 1 effet Poison à un ennemi aléatoire lorsque les PV de cet esprit sont au maximum.	Starkes Gift{desc}Bewirke 1 Gift bei einem zufälligen Gegner, wenn er bei voller Gesundheit ist.	Veneno Potente{desc}Si tienes todos los PS, provoca 1 acumulación de Veneno a un espíritu enemigo al azar.	Veneno Potente{desc}Aplica 1 de Veneno a um Espírito inimigo aleatório quando estiver com a vida cheia.	强效毒{desc}生命值满点的时候，对任意一个敌方精灵施加 1 点中毒。	猛毒{desc}体力が満タンのとき、敵の精霊1体にランダムで猛毒を1付与する。	Сильнодействующий яд{desc}При полном здоровье, добавляет +1 Яд случайному вражескому Духу.
									
ability_Barrier	Dark Ward{desc}Applies 1 Barrier to itself at the start of its first turn.		Égide des ténèbres{desc}S'applique 1 effet Barrière au début de son premier tour.	Dunkler Schutz{desc}Bewirkt zu Beginn seines ersten Zugs 1 Barriere bei sich selbst.	Protección Oscura{desc}Al inicio de su primer turno, se provoca 1 acumulación de Barrera.	Proteção Sombria{desc}Aplica 1 de Barreira a si no início do primeiro turno dele.	暗黑魔杖{desc}在其首回合开始时，对自己施加 1 点障碍。	ダークウォード{desc}最初のターン開始時、自身にバリアを1付与する。	Тёмный Щит{desc}Добавляет себе +1 Барьер в начале первого хода.
ability_Dark Ritual	Dark Ritual{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.		Sombre rituel{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.	Dunkles Ritual{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.	Ritual Siniestro{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.	Ritual Macabro{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.	暗黑仪式{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.	闇の儀式{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.	Тёмный Ритуал{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱ ◱◲◰◲◰ ◲◰ ◲◰◱◱◲ ◰◲◰◲◰ ◲◰◱.
ability_Dark Ritual1	Dark Ritual Stage 1		Sombre rituel - 1re phase	Dunkles Ritual Phase 1	Ritual Siniestro: fase 1	Ritual Macabro Estágio 1	暗黑仪式第一阶段	闇の儀式・第1段階	Тёмный Ритуал Фаза 1
ability_Dark Ritual2	Dark Ritual Stage 2		Sombre rituel - 2e phase	Dunkles Ritual Phase 2	Ritual Siniestro: fase 2	Ritual Macabro Estágio 2	暗黑仪式第二阶段	闇の儀式・第2段階	Тёмный Ритуал Фаза 2
ability_Dark Ritual3	Dark Ritual Stage 3		Sombre rituel - 3e phase	Dunkles Ritual Phase 3	Ritual Siniestro: fase 3	Ritual Macabro Estágio 3	暗黑仪式第三阶段	闇の儀式・第3段階	Тёмный Ритуал Фаза 3
									
ability_InfinidungeonAbility1	◱◲◰{desc}◱◲◰ ◲◰◲◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱.								
ability_InfinidungeonAbility2	◰◲◰◲ ◱◲◰{desc}◱◲◰ ◲◰◲◰◲◰◲ ◰◲ ◰◱◱◲◰ ◲◰◲◰ ◲◰◱.								
									
ability_Dig Dog	Dig Dog{desc}While following you, this spirit allows an additional mine to be found on each island.		Trou trou{desc}Lorsque cet esprit te suit, tu as des chances de trouver une deuxième mine sur chaque île.	Dig-Dog{desc}Wenn dir dieser Geist folgt, besteht die Chance, auf jeder Insel eine zweite Mine zu finden.	Can Cavador{desc}Si este espíritu te sigue, existe la posibilidad de que encuentre una segunda mina en cada isla.	Dig Dog{desc}Enquanto este Espírito te segue, há uma chance de encontrar uma segunda mina em cada ilha.	挖掘犬{desc}这个精灵跟随你时，每座岛屿都有几率增加一个可被发现的矿洞。	ディグドッグ{desc}この精霊が後ろについてきていると、各島で2つ目の鉱山が見つかる。	Копчий песик{desc}Если следует за вами, этот Дух может найти дополнительную шахту на каждом острове.
ability_Frizzy Friend	Frizzy Friend{desc}Creates a Charge card every round and adds it to your hand, unless your hand is full.		Les doigts dans la prise{desc}Crée une carte Charge à chaque round et l'ajoute à ta main, sauf si ta main est pleine.	Wuschelfreund{desc}Erschafft jede Runde eine Ladungskarte und fügt sie deiner Hand hinzu. Außer, deine Hand ist bereits voll.	Amigo Encrespado{desc}Crea una carta de Asalto cada ronda y la añade a tu mano, a menos que ya tengas la mano llena.	Amigo Emplumado{desc}Cria uma carta de Carga em cada rodada e o adiciona à sua mão — a não ser que sua mão já esteja cheia.	卷毛伙伴{desc}每回合新增一张充能卡牌到你的手牌，前提是你的手牌数量未达上限。	チリチリの友{desc}毎ラウンド「チャージ」カードが生成され、手札に加わる（手札がいっぱいの場合は除く）。	Лохматый приятель{desc}Создаёт карту Заряд каждый раунд и добавляет её в вашу руку, если только рука не полна.
ability_Burnt Toast	Burnt Toast{desc}At the start of its third turn this spirit gains Charge equal to the number of Charge cards that have been Exhausted.		Pain grillé{desc}Au début de son troisième tour, cet esprit gagne un nombre d'effets Charge égal au nombre de cartes Charge éliminées.	Verbrannter Toast{desc}Zu Beginn des dritten Zugs erhält dieser Geist Ladung in Höher der Ladungskarten, die erschöpft wurden.	Tostada Quemada{desc}Al inicio de su tercer turno, este espíritu obtiene tantas acumulaciones de Asalto como cartas de Asalto se hayan consumido.	Pão Queimado{desc}No início do terceiro turno, este Espírito recebe uma quantidade de Carga igual ao número de cartas de Carga que sofreram Exaustão.	焦吐司{desc}这个精灵将在第三回合开始时，获得与已耗尽的充能卡牌等量的充能。	焦げたトースト{desc}3ターン目の開始時、消耗状態の「チャージ」カードの枚数と同量のチャージをこの精霊が得る。	Подгоревший тост{desc}В начале своего третьего хода этот дух получает Заряд, равный количеству карт Заряда, которые были сожжены.
ability_Take Thisss	Take Thisss{desc}Applies 1 Charge to itself at the beginning of each round.		Autoproduction{desc}S'applique 1 effet Charge au début de chaque round.	Nimm dasss{desc}Bewirkt zu Beginn jeder Runde 1 Ladung bei sich selbst.	Ssssupera Esssto{desc}Se provoca 1 acumulación de Asalto a sí mismo al inicio de cada ronda.	Tome Isssso{desc}Aplica uma Carga a si mesmo no início de cada rodada.	嘶嘶绝招{desc}每回合开始时，自身获得 1 点充能。	テイクディシュー{desc}各ラウンド開始時、自身にチャージを1付与する。	Зззарядисссь{desc}Добавляет себе +1 Заряд в начале каждого раунда.
ability_Sock Song	Sock Song{desc}While following you, this spirit allows the warp whistle to be used a second time per day.		Chaussette chanteuse{desc}Lorsque cet esprit te suit, il te permet d'utiliser la flûte de distorsion une deuxième fois chaque jour.	Strumpflied{desc}Wenn dir dieser Geist folgt, kann die Warppfeife jeden Tag ein zweites Mal genutzt werden.	Calcetín Cantarín{desc}Si este espíritu te sigue, puedes usar la flauta mágica dos veces al día.	Meia Música {desc} Enquanto este Espírito te segue, a flauta mágica pode ser usada duas vezes por dia.	袜子安可曲{desc}这个精灵跟随你时，每天增加一次可用的跃迁哨次数。	ソックスの歌{desc}この精霊が後ろについてきていると、ワープホイッスルが1日に2回使える。	Серенада носка{desc}Если следует за вами, этот дух позволяет использовать свисток перемещения второй раз в день.
ability_Slay With Fire	Slay With Fire{desc}When this spirit makes another spirit Dizzy, it applies 1 Rage to itself and Burn equal to its Power stat to the dizzy Spirit.		Retour de flamme{desc}lorsque cet esprit en étourdit un autre, il s'applique 1 effet Rage et applique à la cible un nombre d'effets Brûlure égal à sa puissance.	Mit Feuer töten{desc} Wenn dieser Geist einen anderen Geist betäubt, bewirkt er 1 Zorn bei sich selbst und Verbrennen in Höhe seiner Kraft beim betäubten Geist.	Aguja de Fuego{desc}Si este espíritu provoca Mareo a otro espíritu, también se provoca 1 acumulación de Furia a sí mismo. Además, provoca tantas acumulaciones de Quemadura como indique su atributo de Vigor al espíritu mareado.	Vigor de Brasas:{desc}Quando este Espírito deixa outro Espírito tonto, ele aplica 1 de Fúria a si mesmo e Queimadura igual ao seu atributo de Poder ao Espírito tonto.	火焰斩杀{desc}当这个精灵使另一个精灵进入眩晕状态时，会给其自身施加 1 点愤怒，并且根据自己的能量属性对处于眩晕状态的精灵造成等量的灼烧伤害。	スレイ・ウィズ・ファイ{desc}この精霊が別の精霊を気絶させると、自身に激怒を1、気絶している精霊にやけどをパワーと等しい値ぶん、それぞれ付与する。	Огненный шквал{desc}Когда этот дух оглушает другого духа, он добавляет ему Ожог, равный своей силе, и +1 Ярости себе.
									
ability_Exploding Puppies	Exploding Puppies{desc}If your hand isn’t full, add one Explode+ card to your hand at the beginning of each round. 		Chiots explosifs{desc}Si ta main n'est pas pleine, ajoute une carte Explosion+ à ta main au début de chaque round.	Explodierende Welpen{desc}Wenn deine Hand nicht voll ist, füge ihr zu Beginn jeder Runde 1 "Explosion+"-Karte hinzu.	Perritos Explosivos{desc}Si tienes espacio, añades una carta de Explosión+ a tu mano al inicio de cada ronda.	Filhotes Explosivos{desc}Se sua mão não estiver cheia, adiciona uma carta Explosão+ a ela no início de cada rodada.	爆炸狗狗{desc}若你的手牌未满，则在每回合开始时抽取一张爆炸+卡牌。	爆発的なワンちゃん{desc}手札に空きがある場合、各ラウンドの開始時に「ばくはつ+」カードが手札に1枚追加される。	Взрывающиеся щенята{desc}Если ваша рука не полна, добавляет в вашу руку карту Взрыв+ в начале каждого раунда.
ability_Get Rocked	Get Rocked{desc}30% chance to break rocks in one hit.		Brise-roche{desc}30 % de chances de détruire les rochers du premier coup.	Knallhart{desc}30% Chance, Felsen beim ersten Treffer zu zerstören.	Romperrocas{desc}30 % de probabilidad de romper una roca al primer golpe.	Empedrado{desc}30% de chance de quebrar rochas com seu primeiro golpe.	碎岩{desc}有30%的几率在第一次击打时击碎岩石。	ロックだぜ{desc}30%の確率で、一撃で岩をこわす。	Тяжелый молот{desc}30% шанс разрушить камень с одного удара.
UNUSED_ability_Loot Legs	Loot Legs{desc}Increases chances of finding Moonstones as loot after battles.								Ноги загребущие{desc}Увеличивает шансы найти Лунный Камень в награде после битв.
ability_Time Heals All	Time Heals All{desc}Heals back to full health every 5 rounds of battle.		Temps mort{desc}Tous les 5 rounds, cet esprit récupère tous ses PV.	Zeit heilt alle Wunden{desc}Heilt alle 5 Runden im Kampf auf volle Gesundheit.	Tiempo al Tiempo{desc}Recuperas todos los PS cada 5 rondas de combate.	O Tempo Cura Tudo{desc}Cura-se totalmente a cada 5 rodadas de uma batalha.	时间疗愈{desc}战斗中每5回合回满血量。	タイム・ヒールズ・オール{desc}5ラウンドごとに全快する。	Время лечит{desc}Восстанавливается до полного здоровья каждые 5 раундов битвы.
ability_Demon Dice	Demon Dice{desc}At the start of your turn, gain between -2 and +3 Energy.		Dé-moniaque{desc}Au début de ton tour, tu gagnes ou perds de l'énergie (entre -2 et +3 points).	Dämonischer Würfel{desc}Erhalte zu Beginn deines Zugs zwischen -2 und +3 Energie.	Dado Demoníaco{desc}Al inicio de tu turno, ganas 2 o +3 puntos de energía.	 	恶魔骰子{desc}你的回合开始时，可获得-2到+3点能源。	悪魔のサイコロ{desc}プレイヤーのターン開始時、エネルギーを-2～+3得る。	Дьявольские кости{desc}В начале вашего хода получаете от -2 до +3 Энергии.
ability_Topiary Target	Topiary Target{desc}Enemy spirits are more likely to target this Spirit.		Cible facile{desc}Les esprits ennemis ont plus de chances de cibler cet esprit.	Topiariziel{desc}Gegnerische Geister greifen eher diesen Geist an.	Diana Decorativa{desc}Es más probable que los espíritus enemigos ataquen a este espíritu.	Alvo Topiário{desc}Espíritos Inimigos têm mais chance de mirar neste Espírito.	绿雕靶标{desc}使敌方精灵更易以该精灵作为目标。	トピアリーターゲット{desc}敵の精霊がさらにこの精霊を狙うようになる。	Дерзкая прическа{desc}Вражеские духи с большей вероятностью будут атаковать этого Духа.
ability_Mighty Moustache	Mighty Moustache{desc}Nullifies the first negative condition applied to it each round.		Moustache magique{desc}Annule le premier effet négatif reçu par cet esprit lors de chaque round.	Mächtiger Schnurrbart{desc}Hebt in jeder Runde den ersten negativen Zustand auf.	Mostacho Majestuoso{desc}Anula el primer estado negativo que se le aplique en cada ronda.	Bigode Poderoso{desc}Anula o primeiro efeito negativo aplicado a ele a cada rodada.	威猛胡须{desc}抵消每回合首次施加的负面状态。	偉大なる口ひげ{desc}各ラウンドで最初に付与されたマイナス効果を無効にする。	Могучие усы{desc}Обнуляет первый отрицательный эффект, полученный в каждом раунде.
ability_Shrub Spout	Shrub Spout{desc}While following you, grass grows behind you.		Pachydherbe{desc}Lorsque cet esprit te suit, de l'herbe pousse derrière toi.	Gestrüppsprayer{desc}Während er dir folgt, wächst Gras hinter dir.	Crecepasto{desc}Mientras te sigue, la hierba crece por donde pisas.	Germinação de Arbusto{desc}A grama cresce pelo seu caminho percorrido.	灌木浇灌{desc}跟随你时，你的身后会长出小草。	あふれる低木{desc}後ろについてきている間、背後で草が育つ。	Хобот садовника{desc}Слончик высаживает траву, когда следует за вами.
ability_Sea Sight	Sea Sight{desc}Increases chances of finding Holographic Spirits.		Porte-bonheur{desc}Augmente les chances de voir apparaître des esprits holographiques.	Meeressicht{desc}Erhöht die Chance, holografische Geister zu finden.	Ojo Oceánico{desc}Aumenta la probabilidad de encontrar espíritus holográficos.	Visão Marítima{desc}Aumenta a chance de encontrar Espíritos Holográficos.	深海视野{desc}提高发现全息精灵的几率。	シーサイト{desc}ホログラフィックな精霊と出会う確率が上がる。	Морское зрение{desc}Когда следует за вами, увеличивает вероятность найти голографических духов.
ability_Ancient Aura	Ancient Aura{desc}While following you, only Psychic Spirits appear during Psychic storms.		Aura ancestrale{desc}Lorsque cet esprit te suit, seuls des esprits psychiques apparaissent pendant les tempêtes psychiques.	Alte Aura{desc}Während er dir folgt, erscheinen nur Psychogeister während Psychostürmen.	Aura Antigua{desc}Si este espíritu te sigue, durante las tormentas psíquicas solo aparecerán espíritus psíquicos.	Aura Antiga{desc}Enquanto seguem você, somente Espíritos Paranormais aparecem durante Tempestades Paranormais.	远古光环{desc}跟随你时，在超自然风暴期间只会出现通灵精灵。	いにしえのオーラ{desc}後ろについてきている間、サイキックストーム中に現れる精霊がエスパータイプのみになる。	Аура Древних{desc}Когда следует за вами, только Магические Духи появляются во время Магических Штормов.
ability_Bungovision	Bungovision{desc}While following you, Psychic storms appear on your minimap.		Bungovision{desc}Lorsque cet esprit te suit, les tempêtes psychiques sont visibles sur ta mini-carte.	Bungovision{desc}Während er dir folgt, erscheinen Psychostürme auf deiner Minikarte.	Bungovisión{desc}Mientras te sigue, podrás ver las tormentas psíquicas en el minimapa.	Bungovisão{desc}Enquanto seguem você, Tempestades Paranormais aparecem no minimapa.	邦戈之视{desc}跟随你时，超自然风暴会出现在小地图上。	ブンゴビジョン{desc}後ろについてきている間、サイキックストームがミニマップに表示される。	Банго-зрение{desc}Когда следует за вами, Магические Шторма видны на мини-карте.
ability_Energy Efficient	Energy Efficient{desc}Reduces cost of Charge cards to 0 for one turn when 3 or more are in your hand.		Économie d'énergie{desc}Annule le coût des cartes Charge pendant un tour, à condition que tu en aies au moins 3 en main.	Energieeffizient{desc}Senkt für einen Zug die Kosten von Ladungskarten auf 0, wenn du mindestens 3 in deiner Hand hast.	Eficiencia Energética{desc}Si tienes un mínimo de 3 cartas de Asalto en la mano, reduce su coste a 0 durante un turno.	Eficiência Energética{desc}Reduz o custo de cartas de Carga a 0 por um turno quando você tiver 3 ou mais cartas na mão.	高效节能{desc}手牌大于等于 3 张时，在一回合内，充能卡牌的消耗降低为 0。	省エネ{desc}手札に3枚以上あると、1ターンの間「チャージ」カードのコストがかからない。	Энергосбережение{desc}Когда у вас в руке 3 или более карты Заряд, их стоимость снижается до 0 до конца хода.
ability_Chill Vibes	Chill Vibes{desc}While following you, Ice spirits have a chance to spawn during any season.		Vague de froid{desc}Lorsque cet esprit te suit, des esprits de glace ont une chance d'apparaître quelle que soit la saison.	Kühle Atmosphäre{desc}Während er dir folgt, besteht eine Chance, dass Eisgeister während jeder Jahreszeit erscheinen.	Escalofrío{desc}Mientras te sigue, los espíritus de hielo podrían aparecer en cualquier estación.	Friagem{desc}Enquanto seguem você, Espíritos do Gelo podem aparecer em qualquer estação.	寒意共鸣{desc}跟随你时，冰冻精灵在任何季节都有生成的可能。	ヒンヤリバイブス{desc}後ろについてきている間、すべての季節で、こおりの精霊の出現率が上がる。	Морозная прохлада{desc}Когда следует за вами, Ледяные духи могут появляться во время любого сезона.
ability_First Sip	First Sip{desc}This Spirit’s first attack has a 50% chance of being a critical hit.		Première gorgée{desc}La première attaque de cet esprit a 50 % de chances d'être un coup critique.	Erster Schluck{desc}Der erste Angriff des Geists hat eine Chance von 50%, ein kritischer Treffer zu sein.	Primer impacto{desc}El primer ataque de este espíritu tiene un 50 % de probabilidad de provocar un impacto crítico.	Primeira Porção{desc}O primeiro ataque deste Espírito tem 50% de chance de causar Dano Crítico.	先嘬一口{desc}此精灵的第一次攻击有 50% 的几率造成暴击。	最初のひと口{desc}この精霊の最初の攻撃が、50%の確率でクリティカルヒットになる。	Первый глоток{desc}Первая атака этого духа имеет 50% шанс нанести критический удар.
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									

	BATTLE MESSAGES	COMMENTS	FR	DE	ES	BR	CN	JP	RU
									
battle_damage_blocked	BLOCKED!		PARADE !	GEBLOCKT!	¡BLOQUEO!	BLOQUEADO!	遭到拦截！	ブロック！	БЛОКИРОВАНО!
battle_damage_immune	IMMUNE		IMMUNITÉ	IMMUN	INMUNE	IMUNE	免疫	無効	ИММУНИТЕT
battle_damage_critical	CRITICAL		COUP CRITIQUE	KRITISCH	CRÍTICO	CRÍTICO	暴击	クリティカル	КРИТИЧЕСКИЙ УДАР
battle_damage_cancelled	CLOSE CALL		DÉROBADE	HAARSCHARF	MILAGRO	POR UM TRIZ	侥幸逃脱	危機一髪	БЛИЗКОЕ ПОПАДАНИЕ
									
									
									
									
battle_turn_player	Your turn		Ton tour	Dein Zug	Tu turno	Seu turno	轮到你了	あなたのターン	Ваш ход
battle_turn_enemy	Enemy turn		Tour de l'ennemi	Gegnerischer Zug	Turno del rival	Turno do inimigo	轮到敌方	敵のターン	Ход противника
battle_applying_conditions	Applying conditions		Application des effets	Zustände werden angewendet	Provocando estados	Ativando efeitos	施加状态	付与されている効果	Добавление эффектов
battle_next_attack	NEXT ATTACK		PROCHAINE ATTAQUE	NÄCHSTER ANGRIFF	PRÓXIMO ATAQUE	PRÓXIMO ATAQUE	下一次攻击	次の攻撃	СЛЕДУЮЩАЯ АТАКА
									
battle_flee_failed	I couldn’t get away!		Je n'ai pas réussi à m'enfuir !	Ich konnte nicht weg!	¡No he podido escapar!	Não consegui fugir!	我无法逃脱！	逃げられなかった！	Не удалось убежать!
battle_no_stamina	I'm out of Stamina!		Mon endurance est épuisée !	Ich habe keine Ausdauer mehr!	¡No me queda resistencia!	Estou sem Resistência!	我没耐力了！	スタミナが切れた！	Моя выносливость на исходе!
battle_tame_joined	{name} ^has joined the party!		{name} ^a rejoint le groupe !	{name} ^ist der Gruppe beigetreten.	¡{name} ^se ha unido al grupo!	{name} ^se juntou ao grupo!	{name} ^已加入！	{name} ^がパーティーに加わりました！	{name}^Дух присоединился к команде!
battle_tame_sent_to_barn	{name} ^has been sent to the Spirit Barn		{name} ^a été envoyé dans l'abri à esprits.	{name} ^wurde in die Geisterscheune geschickt.	He enviado a {name} ^al establo para espíritus.	Enviou {name} ^para a Morada dos Espíritos	{name} ^已被送至精灵棚	{name} ^が精霊の小屋へ送られました	{name}^Дух отправлен в Амбар.
battle_flee_not_allowed	I can’t flee from this battle!		Je ne peux pas fuir ce combat !	Ich kann nicht aus diesem Kampf fliehen!	¡No puedo huir de este combate!	Não posso fugir dessa batalha!	我无法逃脱战场战斗！	このバトルは逃げられない！	Я не могу убежать из этого боя!
									
									
battle_speech_tangle_applied	Can’t play Skill cards while Tangle is applied		Impossible de jouer des cartes Compétence quand un effet Enchevêtrement est appliqué.	Kann keine Fähigkeitskarten spielen, wenn Fessel in Kraft ist.	No puedes jugar cartas de habilidad mientras Atadura esté activo.	Não consigo usar cartas de habilidade enquanto Emaranhado estiver ativo	处于纠缠状态时无法使用技能牌	混乱中はスキルカードは使えない	Нельзя использовать карты Навыков, когда наложены Путы.
battle_speech_calm_applied	Can’t play Attack cards while Calm is applied		Impossible de jouer des cartes Attaque quand un effet Calme est appliqué.	Kann keine Angriffskarten spielen, wenn Ruhe in Kraft ist.	No puedes jugar cartas de ataque mientras Calma esté activo.	Não consigo usar cartas de ataque enquanto Calmaria estiver ativo	处于镇静状态时无法使用攻击牌	平静の間はアタックカードは使えない	Нельзя использовать карты Атаки, когда наложен Покой.
battle_speech_no_energy	I don't have enough Energy...		Je n'ai pas assez d'énergie...	Ich habe nicht genug Energie ...	No tengo suficiente energía...	Não tenho Energia suficiente...	我的能源不足……	エネルギーが足りない…	У меня недостаточно Энергии...
battle_speech_dizzy	This Spirit is Dizzy and can't play cards!		Cet esprit est étourdi et ne peut pas jouer de cartes.	Dieser Geist ist betäubt und kann keine Karten spielen!	¡Este espíritu sufre Mareo y no puede jugar ninguna carta!	Esse Espírito está Tonto e não consegue usar cartas!	这个精灵处于晕眩状态，无法出牌！	この精霊は気絶しているからカードが使えない！	Этот Дух оглушен и не может использовать карты!
battle_speech_feed	Who should I feed {item} to?		À qui vais-je donner ceci : {item} ?	Wem soll ich {item} zu fressen geben?	¿A quién debería darle {item} de comer?	Para quem devo dar {item}?	我应该将{item}喂给谁？	どのコに{item}をやろうかな？	Кому я должен дать этот предмет: {item}?
battle_speech_nocards_draw	I don't have any cards in my draw pile		Je n'ai plus de cartes dans ma pioche.	Ich habe keine Karten mehr in meinem Nachziehstapel.	No tengo cartas en el mazo.	Não tenho cartas na minha pilha de compras	我的抽牌堆中没有卡牌	山札にカードがない	У меня нет карт в колоде для розыгрыша
battle_speech_nocards_discard	I don't have any cards in my discard pile		Je n'ai plus de cartes dans ma défausse.	Ich habe keine Karten mehr in meinem Ablagestapel.	No tengo cartas en la pila de descartes.	Não tenho cartas na minha pilha de descarte	我的弃牌堆中没有卡牌	捨て札にカードがない	У меня нет карт в стопке сброса
battle_speech_card_discard	Choose 1 card to discard		Choisis 1 carte à placer dans la défausse.	Wähle 1 Karte zum Abwerfen	Escoge 1 carta y descártala.	Escolha 1 carta para descartar	选择 1 张卡牌弃掉	カードを1枚えらんで捨てよう	Выберите 1 карту для сброса
battle_speech_card_exhaust	Choose 1 card to exhaust		Choisis 1 carte à éliminer.	Wähle 1 Karte zum Erschöpfen	Escoge 1 carta y consúmela.	Escolha 1 carta para colocar em Exaustão	选择 1 张卡牌耗尽	カードを1枚えらんで消耗にしよう	Выберите 1 карту для сжигания
battle_speech_2cards_discard	Choose 2 cards to discard		Choisis 2 cartes à placer dans la défausse.	Wähle 2 Karten zum Abwerfen	Escoge 2 cartas y descártalas.	Escolha 2 carta para descartar	选择 2 张卡牌弃掉	カードを2枚えらんで捨てよう	Выберите 2 карты для сброса
battle_speech_2cards_exhaust	Choose 2 cards to exhaust		Choisis 2 cartes à éliminer.	Wähle 2 Karten zum Erschöpfen	Escoge 2 cartas y consúmelas.	Escolha 2 carta para colocar em Exaustão	选择 2 张卡牌耗尽	カードを2枚えらんで消耗にしよう	Выберите 2 карты для сжигания
battle_speech_card_added	{card} added to my deck		Carte « {card} » ajoutée au deck.	{card} meinem Deck hinzugefügt	Se ha añadido {card} al mazo.	Adicionei {card} ao meu baralho	{card}已添加至我的卡组	{card} をデッキに追加した	Карта добавлена в мою колоду: {card}
battle_speech_cards_added	{quantity} cards added to my deck	For other languages let's use this format -  Cards added to my deck: {quantity}	{quantity} cartes ajoutées au deck.	{quantity} Karten meinem Deck hinzugefügt	Se han añadido {quantity} cartas al mazo.	{quantity} cartas adicionadas ao meu baralho	{quantity} 张卡牌已添加至我的卡组	{quantity} 枚のカードをデッキに追加した	{quantity} карт(ы) добавлено в мою колоду
battle_speech_bloodrites_added	Blood Rites added to my deck		Carte « Rites sanguinaires » ajoutée au deck.	Blutrituale meinem Deck hinzugefügt	Se ha añadido Ritos Sangrientos al mazo.	Ritual Sangrento adicionada ao meu baralho	血祭已添加至我的卡组	血の儀式をデッキに追加した	Карта Кровавый Обряд добавлена в мою колоду
